Overhead + backofftime 0(s);Overhead + backofftime 1(s);Overhead + backofftime 2(s);Distance host 0(m);Distance host 1(m);Distance host 2(m);Min max position X (m);Min max position Y (m);Likelihood position X (m);Likelihood position Y (m);Real position X (m);Real position Y (m)
0.001262;0.0022262;0.0033504;29.99993148;29.99993148;29.99993148;30;0;30;0;30;0
0.001182;0.0022462;0.0032304;29.99993148;29.99993148;29.99993148;0.000137041;0;30;0;30;0
0.001282;0.0022862;0.0033904;29.99993148;29.99993148;29.99993148;30;0;30;0;30;0
0.001482;0.0024462;0.0033104;29.99993148;29.99993148;29.99993148;0.000137041;0;30;0;30;0
0.001442;0.0024662;0.0033104;29.99993148;29.99993148;29.99993148;30;0;30;0;30;0
0.001602;0.0024662;0.0033104;29.99993148;29.99993148;29.99993148;30;0;30;0;30;0
0.001142;0.0021262;0.0029704;29.99993148;29.99993148;29.99993148;30;0;30;0;30;0
0.001442;0.0023862;0.0034104;29.99993148;29.99993148;29.99993148;0.000137041;0;30;0;30;0
0.001142;0.0022862;0.0033704;29.99993148;29.99993148;29.99993148;30;0;30;0;30;0
0.001402;0.0023062;0.0034104;29.99993148;29.99993148;29.99993148;0.000137041;0;30;0;30;0
0.001342;0.0022462;0.0033104;29.99993148;29.99993148;29.99993148;0.000137041;0;30;0;30;0
0.001342;0.0023862;0.0032504;29.99993148;29.99993148;29.99993148;0.000137041;0;30;0;30;0
0.001182;0.0022262;0.0032904;29.99993148;29.99993148;29.99993148;30;0;30;0;30;0
0.001422;0.0024462;0.0033104;29.99993148;29.99993148;29.99993148;30;0;30;0;30;0
0.001342;0.0023062;0.0031704;29.99993148;29.99993148;29.99993148;30;0;30;0;30;0
0.001482;0.0024462;0.0033904;29.99993148;29.99993148;29.99993148;30;0;30;0;30;0
0.001382;0.0022462;0.0034104;29.99993148;29.99993148;29.99993148;30;0;30;0;30;0
0.001642;0.0025462;0.0034104;29.99993148;29.99993148;29.99993148;0.000137041;0;30;0;30;0
0.001162;0.0021062;0.0032504;29.99993148;29.99993148;29.99993148;30;0;30;0;30;0
0.001402;0.0022462;0.0033504;29.99993148;29.99993148;29.99993148;30;0;30;0;30;0
0.001262;0.0022462;0.0031504;29.99993148;29.99993148;29.99993148;0.000137041;0;30;0;30;0
0.001522;0.0023862;0.0032504;29.99993148;29.99993148;29.99993148;0.000137041;0;30;0;30;0
0.001262;0.0022262;0.0033304;29.99993148;29.99993148;29.99993148;0.000137041;0;30;0;30;0
0.001162;0.0021662;0.0030704;29.99993148;29.99993148;29.99993148;0.000137041;0;30;0;30;0
0.001202;0.0021862;0.0033304;29.99993148;29.99993148;29.99993148;30;0;30;0;30;0
0.001242;0.0021262;0.0032704;29.99993148;29.99993148;29.99993148;0.000137041;0;30;0;30;0
0.001162;0.0021062;0.0030704;29.99993148;29.99993148;29.99993148;0.000137041;0;30;0;30;0
0.001442;0.0023862;0.0033904;29.99993148;29.99993148;29.99993148;0.000137041;0;30;0;30;0
0.001162;0.0021662;0.0032304;29.99993148;29.99993148;29.99993148;0.000137041;0;30;0;30;0
0.001302;0.0023862;0.0033104;29.99993148;29.99993148;29.99993148;0.000137041;0;30;0;30;0
