Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0014420000,0.0023860200,0.0034100400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0011820000,0.0022460200,0.0032300400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0014020000,0.0023060200,0.0034100400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0014220000,0.0024460200,0.0033100400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0014420000,0.0023860200,0.0033900400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0012420000,0.0021260200,0.0032700400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0012420000,0.0025260200,0.0033900400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0012420000,0.0021460200,0.0033100400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0013620000,0.0023060200,0.0032700400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0013020000,0.0022060200,0.0032100400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0013020000,0.0021460200,0.0033700400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0013820000,0.0022460200,0.0031700400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0011820000,0.0021260200,0.0033700400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0013820000,0.0022660200,0.0031700400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0012020000,0.0021260200,0.0029900400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0012620000,0.0023460200,0.0032500400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0012220000,0.0021860200,0.0032700400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0013020000,0.0021660200,0.0031700400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0014620000,0.0023260200,0.0033900400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0014220000,0.0023060200,0.0033500400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0013420000,0.0023060200,0.0032100400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0012220000,0.0021060200,0.0032500400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0012020000,0.0022260200,0.0033500400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
0.0014020000,0.0023860200,0.0033500400,3.0000231272,3.0000231272,3.0000231272,100.0000000000,101.5000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,
