Overhead + backofftime 0(s);Overhead + backofftime 1(s);Overhead + backofftime 2(s);Overhead + backofftime 3(s);Overhead + backofftime 4(s);Overhead + backofftime 5(s);Distance host 0(m);Distance host 1(m);Distance host 2(m);Distance host 3(m);Distance host 4(m);Distance host 5(m);Min max position X (m);Min max position Y (m);Likelihood position X (m);Likelihood position Y (m);Real position X (m);Real position Y (m)
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
0.001202;0.002046003;0.00291001;0.003754013;0.004638017;0.005482023;0.50005382;1.00010764;0.50005382;0.50005382;1.00010764;1.00010764;1.5;0;1;-4.74907E-05;1;0
