Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Overhead + backofftime 3(s),Overhead + backofftime 4(s),Overhead + backofftime 5(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0012020000,0.0020460200,0.0029100400,0.0037540600,0.0046380801,0.0054821001,4.7987778752,3.0000231272,1.2012683792,3.0000231272,6.5975326232,4.7987778752,100.6006226260,100.8993773740,101.2254301128,100.5321016139,100.0000000000,100.0000000000,
0.0012420000,0.0021060200,0.0029700400,0.0038540600,0.0046980801,0.0056421001,6.5975326232,-0.5974863688,3.0000231272,1.2012683792,1.2012683792,-0.5974863688,98.5000000000,98.8996226260,98.7953065750,98.1856560927,100.0000000000,100.0000000000,
0.0011420000,0.0020060200,0.0030500400,0.0038940600,0.0048380801,0.0058421001,6.5975326232,6.5975326232,3.0000231272,4.7987778752,6.5975326232,4.7987778752,101.0487547480,99.3015726260,100.7029106324,98.7066743722,100.0000000000,100.0000000000,
0.0011620000,0.0020060200,0.0030500400,0.0038940600,0.0048780801,0.0058221001,4.7987778752,-0.5974863688,6.5975326232,-0.5974863688,6.5975326232,-0.5974863688,100.0000000000,100.2009500000,103.5212563890,100.4572680045,100.0000000000,100.0000000000,
0.0012620000,0.0021460200,0.0032500400,0.0041140600,0.0049580801,0.0058021001,3.0000231272,4.7987778752,4.7987778752,6.5975326232,-0.5974863688,3.0000231272,98.2012452520,100.0000000000,100.5819649594,99.4527328371,100.0000000000,100.0000000000,
0.0012220000,0.0020660200,0.0029100400,0.0039740600,0.0048780801,0.0057621001,-0.5974863688,3.0000231272,6.5975326232,3.0000231272,-0.5974863688,1.2012683792,99.2500000000,98.5000000000,96.8859169102,98.4868201534,100.0000000000,100.0000000000,
0.0011420000,0.0020260200,0.0030900400,0.0040340600,0.0049580801,0.0058221001,3.0000231272,6.5975326232,-0.5974863688,4.7987778752,6.5975326232,3.0000231272,98.5000000000,102.5980000000,98.1442268231,102.9652852419,100.0000000000,100.0000000000,
0.0011420000,0.0021260200,0.0029900400,0.0038940600,0.0048580801,0.0058621001,1.2012683792,6.5975326232,1.2012683792,3.0000231272,1.2012683792,1.2012683792,100.0000000000,100.7500000000,101.1645611044,102.6038119698,100.0000000000,100.0000000000,
0.0011420000,0.0021260200,0.0029900400,0.0038940600,0.0048180801,0.0057621001,1.2012683792,1.2012683792,6.5975326232,3.0000231272,6.5975326232,6.5975326232,101.5000000000,101.5000000000,102.9053149738,103.6101543046,100.0000000000,100.0000000000,
0.0013820000,0.0022660200,0.0031900400,0.0040340600,0.0049780801,0.0058421001,-0.5974863688,3.0000231272,1.2012683792,6.5975326232,6.5975326232,4.7987778752,99.8506226260,100.5490000000,100.7056500993,103.5990743494,100.0000000000,100.0000000000,
0.0012020000,0.0021060200,0.0030900400,0.0039740600,0.0048180801,0.0057821001,1.2012683792,4.7987778752,3.0000231272,6.5975326232,6.5975326232,3.0000231272,100.0000000000,101.1003273740,99.9937227108,101.8095885357,100.0000000000,100.0000000000,
0.0011820000,0.0020460200,0.0029100400,0.0040740600,0.0049380801,0.0058621001,6.5975326232,4.7987778752,6.5975326232,3.0000231272,1.2012683792,3.0000231272,100.0000000000,100.8993773740,99.7686713248,98.0716514638,100.0000000000,100.0000000000,
0.0012220000,0.0021260200,0.0030100400,0.0038540600,0.0047580801,0.0058821001,3.0000231272,1.2012683792,-0.5974863688,4.7987778752,-0.5974863688,1.2012683792,100.0000000000,100.0000000000,100.4618894840,100.6927946555,100.0000000000,100.0000000000,
0.0013020000,0.0021660200,0.0031300400,0.0040140600,0.0048780801,0.0058421001,1.2012683792,4.7987778752,4.7987778752,6.5975326232,3.0000231272,1.2012683792,100.8993773740,101.7987547480,101.8323327638,101.8625613053,100.0000000000,100.0000000000,
0.0011420000,0.0020860200,0.0029300400,0.0039340600,0.0049380801,0.0058221001,4.7987778752,6.5975326232,1.2012683792,4.7987778752,3.0000231272,4.7987778752,100.0000000000,98.0002452520,99.0279972415,98.1764736663,100.0000000000,100.0000000000,
0.0012020000,0.0021260200,0.0031100400,0.0040340600,0.0049780801,0.0058821001,3.0000231272,1.2012683792,4.7987778752,4.7987778752,1.2012683792,-0.5974863688,99.1006226260,100.8993273740,99.0191623414,100.6080395109,100.0000000000,100.0000000000,
