Overhead + backofftime 0(s),Overhead + backofftime 1(s),Overhead + backofftime 2(s),Overhead + backofftime 3(s),Overhead + backofftime 4(s),Overhead + backofftime 5(s),Overhead + backofftime 6(s),Overhead + backofftime 7(s),Overhead + backofftime 8(s),Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Distance host 6(m),Distance host 7(m),Distance host 8(m),Min max position X (m),Min max position Y (m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
0.0011620000,0.0020260400,0.0028700801,0.0037141338,0.0046381738,0.0057422139,0.0066062539,0.0074702939,0.0083543339,6.0000462544,6.0000462544,8.0566225163,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,100.0000000000,100.0000000000,100.0000084977,99.9999350475,100.0000000000,100.0000000000,
0.0011620000,0.0021260400,0.0030100801,0.0038541201,0.0047981601,0.0057022001,0.0065662539,0.0074302939,0.0082943339,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,8.0566225163,6.0000462544,6.0000462544,6.0000462544,100.0000000000,100.0000000000,100.0000188813,99.9999633339,100.0000000000,100.0000000000,
0.0011420000,0.0019860400,0.0029100801,0.0039141201,0.0047781601,0.0056222001,0.0065062402,0.0073902939,0.0083543339,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,8.0566225163,6.0000462544,6.0000462544,100.0000000000,100.0000000000,99.9999838546,99.9999025909,100.0000000000,100.0000000000,
0.0011820000,0.0020460400,0.0028900938,0.0037741338,0.0046181738,0.0055022139,0.0064462539,0.0072902939,0.0082743339,6.0000462544,8.0566225163,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,100.0000000000,100.0000000000,99.9999895112,99.9999338949,100.0000000000,100.0000000000,
0.0011420000,0.0020860400,0.0029500801,0.0037941201,0.0046981738,0.0056222139,0.0065062539,0.0074702939,0.0083143339,6.0000462544,6.0000462544,6.0000462544,8.0566225163,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,100.0000000000,100.0000000000,100.0000034257,99.9999312977,100.0000000000,100.0000000000,
0.0011420000,0.0020460400,0.0028900801,0.0037341201,0.0045981601,0.0055222001,0.0063862402,0.0074302802,0.0082943339,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,8.0566225163,6.0000462544,100.0000000000,100.0000000000,100.0000281285,99.9999117435,100.0000000000,100.0000000000,
0.0012420000,0.0021060537,0.0029500938,0.0038741338,0.0047581738,0.0056622139,0.0065262539,0.0073902939,0.0082943339,8.0566225163,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,100.0000000000,100.0000000000,100.0000034257,99.9999312977,100.0000000000,100.0000000000,
0.0012020000,0.0020860400,0.0029900801,0.0038341338,0.0046781738,0.0055422139,0.0064062539,0.0073502939,0.0083343339,6.0000462544,6.0000462544,8.0566225163,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,100.0000000000,100.0000000000,100.0000164849,99.9999371111,100.0000000000,100.0000000000,
0.0011420000,0.0022060400,0.0030500801,0.0039541201,0.0047981601,0.0056822001,0.0065462402,0.0074302939,0.0082943339,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,8.0566225163,6.0000462544,6.0000462544,100.0000000000,100.0000000000,99.9999895112,99.9999338949,100.0000000000,100.0000000000,
0.0012620000,0.0021860400,0.0030500801,0.0039141201,0.0048781601,0.0057622001,0.0066062402,0.0074702802,0.0083343202,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,6.0000462544,8.0566225163,100.0000000000,100.0000000000,100.0000217984,99.9999278388,100.0000000000,100.0000000000,
